"id","pop","stationName","latitude","longitude","departement","marque","Gazole","E10","SP98"
"74540002","R","224 route d'Annecy - Saint-Félix",45.802,45.802,"74","Elan","2.039",NA,NA
"5200007","R","Avenue Justin Gras - EMBRUN",44.56,44.56,"05","Avia","1.969",NA,"2.014"
"17700002","R","44 Rue Audry de Puyravault - Surgères",46.109,46.109,"17","Total","2.023",NA,NA
"66100002","R","294, AVENUE D'ARGELES SUR MER - PERPIGNAN",42.68191049007,42.68191049007,"66","Total","2.015","1.984","2.094"
"62580002","R","rue saint nazaire - Vimy",50.376,50.376,"62","Carrefour Contact",NA,NA,NA
"2000009","R","167 Avenue Pierre Mendès France - Laon",49.582570669759,49.582570669759,"02","Intermarche","1.905","1.885","1.939"
"34990001","R","Route de Saint Georges d'Orques - JUVIGNAC",43.614,43.614,"34","Intermarche","1.985","1.969","1.985"
"74200002","R","Chemin de Morcy - THONON-LES-BAINS",46.35892,46.35892,"74","Carrefour Market","1.997",NA,"1.989"
"40230004","R","27 Avenue du Général de Gaulle - Tosse",43.68911,43.68911,"40","Leclerc","1.909","1.869","1.969"
"63100003","R","Boulevard Etienne Clementel - CLERMONT-FERRAND",45.813,45.813,"63","Auchan","1.944","1.892","1.986"
"23600002","R","Avenue Pierre Leroux - BOUSSAC",46.349,46.349,"23","Casino","1.999",NA,"1.999"
"82400009","R","Place Jean Baptiste CHAUMEIL - Valence-d'Agen",44.109,44.109,"82","Independant sans enseigne",NA,NA,NA
"47310006","A","AUTOROUTE A62 - AIRE AGEN PORTE D'AQUITAINE NORD - LAPLUME",44.1991844185,44.1991844185,"47","Total","2.069","2.029","2.134"
"31780001","R","Chemin de Buffebiau - CASTELGINEST",43.687,43.687,"31","Intermarche","1.939","1.869",NA
"77740002","R","62 ROUTE DE PARIS / RN 34 - Saint-Germain-sur-Morin",48.884,48.884,"77","Total Access","1.942","1.907","1.983"
"83400011","R","Avenue Geoffroy Saint-Hilaire - HYèRES",43.1096,43.1096,"83","Independant sans enseigne","1.959",NA,NA
"33680001","R","RTE DE BORDEAUX - Lacanau",44.97654,44.97654,"33","Total Access","1.908","1.885",NA
"33500005","R","11 Rue Pierre Benoit - LIBOURNE",44.90603,44.90603,"33","Intermarche","1.965","1.905","1.904"
"69430004","R","3710 ROUTE DE SAINT VINCENT - Quincié-en-Beaujolais",46.13965793122,46.13965793122,"69","N.C.","02.06",NA,"1.94"
